state_name,month_reported,reported_cases,weather_notes,extra_column
Taraba,Sep,1355,Heavy rain,###
Adamawa,May,1748,flooded!!!,
katsina,Jan,262,123,###
Benue,Jul,157,,###
Kaduba,Nov,1453,Dry season,irrelevant
G0mbe,Dec,1605,,irrelevant
Abuja,Jan,1763,Dry season,
Nasarawa,Apr,391,123,
Anambra,Jul,1109,,
Enugu,Nov,451,123,
Delta,Aug,1591,flooded!!!,###
katsina,Jul,853,123,irrelevant
Ogun,Aug,1369,,
Abla,Sep,957,Dry season,
lagos ,May,1121,123,irrelevant
Delta,Dec,1500,123,###
Adamawa,Nov,38,flooded!!!,
Kebbis,Jan,1334,123,irrelevant
lagos ,May,1842,,###
Bayelsa,May,79,Heavy rain,###
Bayelsa,???,1198,Heavy rain,###
Zamfara,Oct,1921,Heavy rain,irrelevant
G0mbe,Dec,1002,Heavy rain,irrelevant
Adamawa,Feb,1291,Dry season,
Enugu,???,552,flooded!!!,###
Jigawa,???,284,,###
Rivers,Jun,1317,Dry season,
Taraba,???,418,Heavy rain,irrelevant
Delta,Sep,376,Dry season,###
Rivers,???,1404,Heavy rain,
benue,Sep,1314,flooded!!!,irrelevant
Enugu,Oct,762,Dry season,
Yobe,???,1455,flooded!!!,###
Osun,Jan,1781,123,###
katsina,,574,123,###
Kebbis,Feb,255,Dry season,###
Yobe,Aug,414,flooded!!!,
Delta,Oct,250,,###
Yobe,Jul,1048,flooded!!!,irrelevant
Osun,Feb,1814,Heavy rain,###
Cross River,Oct,1957,,###
Kwara,Aug,580,Heavy rain,
Benue,Sep,845,Heavy rain,###
katsina,Jan,961,123,irrelevant
kogi,,987,Heavy rain,###
Anambra,Jun,1777,flooded!!!,irrelevant
Kebbis,Oct,1305,,irrelevant
Borno,Aug,420,,irrelevant
Zamfara,Mar,1244,Dry season,
??Rivers,Sep,500,Dry season,###
Ogun,Aug,1379,flooded!!!,irrelevant
KAN0,Jul,998,Heavy rain,
Taraba,,978,,
Rivers,???,1187,123,irrelevant
Osun,Feb,1505,flooded!!!,
Adamawa,Aug,1404,Dry season,###
??Rivers,Dec,1064,Dry season,
Ekiti,Jun,1406,123,
kogi,Aug,727,Heavy rain,
Rivers,Aug,1668,123,
Lagos,Jan,1192,123,
Abla,,128,,irrelevant
KAN0,Jun,1824,Heavy rain,
Lagos,???,295,123,
kogi,May,477,Heavy rain,irrelevant
Jigawa,Dec,364,123,
Lagos,Oct,1985,,
Yobe,Aug,1782,,irrelevant
katsina,Jan,947,flooded!!!,irrelevant
katsina,Feb,554,flooded!!!,irrelevant
Cross River,Dec,792,flooded!!!,
Oyo,Dec,1969,flooded!!!,irrelevant
Anambra,Jan,1938,flooded!!!,irrelevant
Lagos,Jul,571,Dry season,###
Ogun,Nov,637,Heavy rain,irrelevant
Abla,Dec,1312,flooded!!!,irrelevant
Osun,Jan,462,Dry season,###
gombe,May,709,flooded!!!,irrelevant
Bauchi,Mar,131,Dry season,irrelevant
Anambra,Feb,156,,
Kaduba,???,1671,Dry season,###
Rivers,Sep,299,Dry season,irrelevant
Jigawa,Aug,608,flooded!!!,irrelevant
Ogun,Feb,1630,Dry season,###
lagos ,Jul,1406,Dry season,irrelevant
Benue,,1867,Dry season,###
G0mbe,Jun,1822,123,
Nasarawa,Feb,985,123,###
Oyo,Jul,414,flooded!!!,irrelevant
benue,Oct,885,flooded!!!,###
Ogun,???,684,flooded!!!,irrelevant
crossriver,May,1226,,
KAN0,Nov,1746,,irrelevant
Cross River,Aug,1452,flooded!!!,###
Imo,Jul,1424,flooded!!!,###
Bayelsa,???,1554,Heavy rain,
Taraba,Dec,643,flooded!!!,###
Enugu,,1395,123,
Ekiti,Jun,223,,irrelevant
Plateau,Mar,1332,Dry season,
Cross River,???,1758,,###
crossriver,Oct,1931,,###
Niger,Dec,1718,,###
Abla,,1234,flooded!!!,
Taraba,Dec,285,Heavy rain,
??Rivers,Sep,482,Heavy rain,###
Kano,???,1789,123,###
Bauchi,Sep,1157,123,irrelevant
Ebonyi,Oct,144,flooded!!!,###
Kwara,,478,flooded!!!,irrelevant
Bauchi,May,1553,123,irrelevant
Abla,???,1957,,
Imo,Apr,427,flooded!!!,###
Ekiti,Sep,1398,123,
Kaduna,May,14,123,
Taraba,Jun,747,Dry season,###
Plateau,May,231,Heavy rain,
G0mbe,Oct,299,Dry season,
lagos ,,1327,Dry season,
Bauchi,Jan,1120,flooded!!!,irrelevant
crossriver,Nov,1771,,irrelevant
Jigawa,Apr,1493,,
Adamawa,Dec,1858,Dry season,###
Ed0o,Oct,982,Dry season,
Anambra,Aug,1987,flooded!!!,irrelevant
lagos ,Feb,1223,Heavy rain,###
G0mbe,May,885,Dry season,
Kwara,,1052,,###
lagos ,May,642,flooded!!!,###
Yobe,Mar,1513,Heavy rain,###
Kaduna,Jul,661,Dry season,###
lagos ,Sep,241,Heavy rain,
gombe,Mar,1751,,
Ogun,Mar,513,Dry season,irrelevant
Rivers,Sep,532,flooded!!!,
gombe,Apr,1482,,
Borno,Dec,1760,123,###
Cross River,Nov,1726,flooded!!!,###
katsina,Mar,1476,Dry season,irrelevant
Abuja,,1548,flooded!!!,irrelevant
Kaduna,Jan,821,Heavy rain,
Zamfara,Apr,1367,flooded!!!,
Kaduna,Apr,1460,Dry season,
Osun,Sep,23,flooded!!!,###
S0koto,Oct,1829,123,irrelevant
Taraba,Dec,1613,Heavy rain,irrelevant
Rivers,Feb,1974,123,###
Zamfara,Jun,1550,,
??Rivers,Nov,929,,irrelevant
Yobe,Apr,1787,Dry season,irrelevant
Anambra,Jul,824,123,
Osun,Aug,966,,
Kano,Dec,966,,###
Imo,Mar,1701,Dry season,###
Borno,,1589,Heavy rain,###
Ed0o,Mar,449,123,irrelevant
Ogun,Jun,82,Dry season,
Plateau,Jul,1072,flooded!!!,irrelevant
Abla,Nov,1567,,irrelevant
Ekiti,Aug,646,flooded!!!,
Taraba,Aug,1395,123,
Osun,Sep,128,123,
Jigawa,Feb,1574,123,irrelevant
Adamawa,Mar,1222,123,
Yobe,Feb,301,123,irrelevant
Enugu,Jul,559,123,
Oyo,Mar,709,Dry season,irrelevant
gombe,Jul,1334,Heavy rain,
Ogun,May,342,Heavy rain,irrelevant
Lagos,Apr,1789,123,
Abuja,Mar,23,Heavy rain,###
kogi,Jul,213,Dry season,###
Kaduba,Mar,1219,flooded!!!,irrelevant
Enugu,???,628,Heavy rain,irrelevant
Osun,May,101,Dry season,###
Nasarawa,,620,Dry season,###
Zamfara,Dec,1133,123,###
Lagos,Aug,1320,flooded!!!,###
Anambra,Feb,1774,123,irrelevant
Plateau,???,625,Heavy rain,
Kaduba,Jul,991,,
Kwara,Mar,1815,flooded!!!,###
Bayelsa,???,1371,flooded!!!,
katsina,Oct,1396,flooded!!!,irrelevant
gombe,Sep,252,Dry season,irrelevant
Ekiti,???,708,Heavy rain,irrelevant
Delta,Dec,1323,123,irrelevant
Osun,Feb,1417,Heavy rain,###
Cross River,Jun,674,123,###
Plateau,Jul,1337,123,###
benue,Jun,1109,,###
KAN0,Jan,240,flooded!!!,irrelevant
Rivers,May,989,Heavy rain,
Jigawa,Sep,1463,Dry season,
Taraba,Jun,1496,Dry season,###
Taraba,Jul,1483,Dry season,irrelevant
Nasarawa,,1491,flooded!!!,irrelevant
Lagos,Jan,1999,123,irrelevant
Nasarawa,Oct,711,,
Kwara,Jun,792,123,irrelevant
Ondo,Feb,1240,,irrelevant
Abla,Jul,93,123,
Adamawa,Oct,1709,Dry season,
benue,Nov,1342,123,
lagos ,Aug,1148,flooded!!!,###
Kaduba,,935,flooded!!!,irrelevant
Rivers,Apr,1154,Dry season,irrelevant
Niger,Mar,241,123,irrelevant
Bauchi,Jun,174,flooded!!!,###
Kwara,Aug,225,123,###
Plateau,Aug,1606,123,###
Enugu,Jan,189,Dry season,
kogi,Jul,286,Dry season,###
kogi,Apr,1019,Heavy rain,
G0mbe,Jun,915,Heavy rain,
KAN0,,1302,flooded!!!,###
Delta,???,1928,,
Plateau,Apr,1403,123,irrelevant
??Rivers,Aug,1243,,###
Zamfara,Mar,561,123,###
Rivers,???,992,Heavy rain,irrelevant
Osun,Sep,1575,Dry season,irrelevant
Delta,Mar,1414,Heavy rain,
Ekiti,Jul,362,Dry season,irrelevant
KAN0,Sep,637,Dry season,irrelevant
Plateau,Jul,1836,Heavy rain,###
S0koto,Sep,536,Dry season,
KAN0,Sep,1585,Heavy rain,irrelevant
Bayelsa,Jan,72,Heavy rain,###
Kaduna,Feb,1074,,
Rivers,Jan,1006,,
Enugu,Oct,1350,Dry season,irrelevant
??Rivers,Jun,1781,flooded!!!,###
Plateau,May,1346,123,###
Ogun,???,1573,Dry season,###
S0koto,,1107,Dry season,###
Bayelsa,Oct,597,,
Abuja,,670,flooded!!!,
Rivers,Dec,605,flooded!!!,irrelevant
Enugu,Nov,1759,Dry season,
Enugu,May,348,,
Nasarawa,Jul,560,flooded!!!,irrelevant
Rivers,Oct,1402,,###
Ekiti,,332,Heavy rain,irrelevant
Taraba,Mar,857,,
S0koto,Jul,694,Heavy rain,irrelevant
lagos ,Jan,1413,flooded!!!,###
Anambra,Feb,46,Dry season,
Ogun,Jun,24,123,irrelevant
Enugu,Apr,130,Dry season,
Kaduba,Sep,1211,Heavy rain,irrelevant
Rivers,Aug,689,,
Ed0o,???,646,Heavy rain,###
Niger,Jun,1981,,###
Enugu,May,628,,irrelevant
Oyo,Apr,677,,irrelevant
Enugu,,1549,flooded!!!,irrelevant
Oyo,Apr,866,Dry season,irrelevant
Kano,???,117,123,irrelevant
Benue,May,120,flooded!!!,irrelevant
Anambra,May,1309,,###
Kaduna,Dec,793,flooded!!!,###
benue,Jan,736,flooded!!!,###
Enugu,Aug,1499,123,###
Enugu,Jun,397,,
G0mbe,Jul,972,flooded!!!,
Bayelsa,May,1914,Heavy rain,
lagos ,Mar,1310,flooded!!!,irrelevant
S0koto,Jul,1185,flooded!!!,###
Imo,Mar,952,123,
Ebonyi,May,1372,,
Benue,Aug,149,Dry season,###
Benue,???,45,Dry season,
Enugu,Aug,319,123,
gombe,Jan,463,flooded!!!,
katsina,May,1267,,irrelevant
Benue,Aug,1712,Heavy rain,irrelevant
Bayelsa,Mar,1758,flooded!!!,###
Imo,Apr,500,Dry season,###
Yobe,May,46,,
Yobe,,1343,flooded!!!,irrelevant
Kebbis,Jan,1792,Heavy rain,irrelevant
Osun,Aug,527,123,irrelevant
Benue,May,949,Heavy rain,irrelevant
Kano,Feb,1745,,irrelevant
Benue,Oct,403,flooded!!!,
Ekiti,Sep,1334,Dry season,irrelevant
kogi,Apr,1423,,###
Niger,Oct,1474,,irrelevant
kogi,Jul,1580,,
Borno,Oct,1162,,
Yobe,Jun,907,Heavy rain,
KAN0,Oct,1,flooded!!!,irrelevant
Abla,Apr,1312,,
Ed0o,Dec,1071,flooded!!!,
Cross River,???,1169,Heavy rain,###
Kaduba,Aug,1825,flooded!!!,
Cross River,???,89,Heavy rain,
Kaduna,Mar,1099,,irrelevant
gombe,May,1467,,###
Kebbis,Jun,32,Heavy rain,irrelevant
Kaduba,???,355,Dry season,###
Osun,May,1535,,
G0mbe,Jun,1074,Dry season,###
Bayelsa,,610,Dry season,
G0mbe,Jun,43,Heavy rain,
lagos ,Oct,802,flooded!!!,
lagos ,Dec,299,,###
Taraba,Jan,1409,Dry season,irrelevant
Bauchi,???,1963,Dry season,###
Enugu,Dec,283,Dry season,irrelevant
S0koto,Oct,1027,Heavy rain,
gombe,Sep,766,Dry season,irrelevant
Yobe,Dec,24,Dry season,irrelevant
Kaduna,Jan,1320,Heavy rain,###
Imo,Apr,336,,
Osun,Aug,1768,Heavy rain,###
Yobe,Jun,1852,flooded!!!,###
Enugu,Jun,61,123,
Osun,Apr,1081,Heavy rain,irrelevant
Nasarawa,Aug,180,Dry season,irrelevant
gombe,Oct,1711,flooded!!!,
Adamawa,Nov,1705,Dry season,irrelevant
Imo,Apr,942,Heavy rain,###
Bauchi,???,91,Heavy rain,###
Niger,Mar,858,,irrelevant
Delta,Jan,428,,
Delta,Jan,1977,,irrelevant
gombe,Jan,781,,irrelevant
Rivers,Mar,402,,irrelevant
Yobe,Jul,1613,Dry season,irrelevant
Nasarawa,Apr,502,123,###
Ebonyi,,1544,123,###
Rivers,Feb,1824,,###
Ekiti,Sep,1833,,###
kogi,Jun,1531,Heavy rain,
Ebonyi,Feb,538,Dry season,
Borno,Apr,800,123,irrelevant
Abuja,???,747,Heavy rain,irrelevant
Anambra,Apr,1905,,irrelevant
Kano,May,1447,flooded!!!,###
Kebbis,Dec,233,Heavy rain,
Abuja,Oct,493,123,
Enugu,Jul,1774,,
Bauchi,Nov,254,Heavy rain,irrelevant
Kano,???,1137,Dry season,irrelevant
Osun,Feb,1649,Heavy rain,
lagos ,Mar,1353,Dry season,###
Rivers,Jan,1830,123,
benue,Mar,1113,flooded!!!,irrelevant
Taraba,May,1275,123,irrelevant
crossriver,Jul,179,,irrelevant
kogi,,860,123,###
Ogun,,11,,###
Kaduba,May,620,Heavy rain,irrelevant
crossriver,Dec,1816,123,###
Jigawa,Oct,1812,,irrelevant
Imo,Jun,1031,flooded!!!,irrelevant
Anambra,Apr,689,123,irrelevant
Bauchi,,1782,Dry season,irrelevant
Borno,Nov,972,Dry season,###
Kebbis,May,1125,Dry season,
Ebonyi,Jan,1387,flooded!!!,###
Imo,Oct,36,,###
Abla,Sep,1204,Heavy rain,
Imo,Jul,1926,,###
Taraba,May,1483,flooded!!!,###
Bauchi,Aug,863,Dry season,###
Jigawa,Mar,1775,flooded!!!,###
Delta,Feb,776,123,irrelevant
G0mbe,Mar,24,flooded!!!,###
Kwara,Jan,894,Heavy rain,###
Adamawa,Oct,68,flooded!!!,###
kogi,Mar,720,Heavy rain,###
Plateau,May,1903,,###
Jigawa,Feb,1811,,###
Ed0o,Oct,857,,
Anambra,Nov,1142,Dry season,
Cross River,Feb,1271,flooded!!!,###
Taraba,Jul,608,,###
KAN0,,1875,,
Zamfara,Jan,1449,Dry season,irrelevant
kogi,Sep,1143,flooded!!!,###
Abla,Oct,8,Dry season,###
Delta,Jan,1995,,
Benue,???,144,Dry season,irrelevant
Zamfara,???,1717,flooded!!!,irrelevant
Ebonyi,Jul,1116,flooded!!!,irrelevant
Cross River,Sep,1949,flooded!!!,irrelevant
Anambra,Jul,1000,flooded!!!,###
Ekiti,Jul,568,Heavy rain,###
Niger,Mar,1306,Heavy rain,###
Bauchi,May,282,Heavy rain,###
G0mbe,Jul,1166,Dry season,irrelevant
Yobe,Nov,449,Heavy rain,
Cross River,???,520,,###
S0koto,???,1153,Heavy rain,irrelevant
crossriver,May,717,Heavy rain,
Kebbis,???,1008,Dry season,irrelevant
Imo,Nov,1188,flooded!!!,
Kwara,Nov,407,flooded!!!,###
Kebbis,Mar,403,flooded!!!,irrelevant
